X	Y	X	Y	X	Y	X	Y	X	Y
1.5900000E1	-4.1371327E-1	1.6290000E1	2.4038182E0	1.5650000E1	4.2400975E-1	9.6962301E1	9.0008916E0	1.5494742E1	4.0232883E0
1.6900000E1	-3.8925897E-1	1.7290000E1	2.8200682E0	1.6650000E1	3.5265265E-1	9.7962301E1	8.9988566E0	1.6494742E1	4.6446901E0
1.7900000E1	5.6875630E-2	1.8290000E1	4.3463182E0	1.7650000E1	2.1310975E-1	9.8962301E1	9.0204589E0	1.7494742E1	5.2043151E0
1.8900000E1	-8.4008970E-2	1.9290000E1	5.4452182E0	1.8650000E1	1.6732225E-1	9.9962301E1	8.4724803E0	1.8494742E1	5.2551901E0
1.9900000E1	9.7963300E-3	2.0290000E1	5.8710028E0	1.9650000E1	3.9625975E-1	1.0096230E2	9.0263291E0	1.9494742E1	5.1788776E0
2.0900000E1	1.6574103E-1	2.1290000E1	6.2967874E0	2.0650000E1	-3.7860565E-1	1.0196230E2	8.9500166E0	2.0494742E1	4.8736276E0
2.1900000E1	8.8724103E-1	2.2290000E1	7.7040682E0	2.1650000E1	-3.6686525E-1	1.0296230E2	8.5430166E0	2.1494742E1	4.8736276E0
2.2900000E1	9.4523103E-1	2.3290000E1	8.0093182E0	2.2650000E1	-4.0502155E-1	1.0396230E2	8.6108499E0	2.2494742E1	5.1350892E0
2.3900000E1	8.5949103E-1	2.4290000E1	9.6663896E0	2.3650000E1	-5.8054025E-1	1.0496230E2	8.4921416E0	2.3494742E1	4.3687911E0
2.4900000E1	7.6848283E-1	2.5290000E1	9.7645057E0	2.4650000E1	-2.0993019E0	1.0596230E2	8.5549872E0	2.4494742E1	4.7210026E0
2.5900000E1	1.1633883E0	2.6290000E1	9.9693445E0	2.5650000E1	-1.8168027E0	1.0696230E2	8.5052920E0	2.5494742E1	4.6505603E0
2.6900000E1	1.2500911E0	2.7290000E1	1.1402907E1	2.6650000E1	-1.5573403E0	1.0796230E2	8.4486268E0	2.6494742E1	4.5989026E0
2.7900000E1	1.2678124E0	2.8290000E1	1.2282818E1	2.7650000E1	-8.2474025E-1	1.0896230E2	8.4694445E0	2.7494742E1	4.7408026E0
2.8900000E1	1.2896160E0	2.9290000E1	1.3198568E1	2.8650000E1	-4.1477875E-1	1.0996230E2	8.9500166E0	2.8494742E1	4.8042526E0
2.9900000E1	1.5643410E0	3.0290000E1	1.4114318E1	2.9650000E1	-4.4317775E-1	1.1096230E2	8.8171031E0	2.9494742E1	4.9826455E0
3.0900000E1	1.5738231E0	3.1290000E1	1.5898857E1	3.0650000E1	-6.4815845E-1	1.1196230E2	9.0936637E0	3.0494742E1	4.9394916E0
3.1900000E1	1.5643410E0	3.2290000E1	1.7573818E1	3.1650000E1	-7.0733645E-1	1.1296230E2	8.9421487E0	3.1494742E1	5.1534401E0
3.2900000E1	1.5643410E0	3.3290000E1	1.8387818E1	3.2650000E1	-1.0621569E0	1.1396230E2	8.5403940E0	3.2494742E1	5.0027718E0
