211202_kinetic_519, 00 Fc=3 - 1_X	211202_kinetic_519, 00 Fc=3 - 1_Y	211202_kinetic_519, 00 Fc=3 - 2_X	211202_kinetic_519, 00 Fc=3 - 2_Y	211202_kinetic_519, 00 Fc=3 - 3_X	211202_kinetic_519, 00 Fc=3 - 3_Y	211202_kinetic_519, 00 Fc=3 - 4_X	211202_kinetic_519, 00 Fc=3 - 4_Y	211202_kinetic_519, 00 Fc=3 - 5_X	211202_kinetic_519, 00 Fc=3 - 5_Y	211202_kinetic_519, 00 Fc=3 - 6_X	211202_kinetic_519, 00 Fc=3 - 6_Y	211202_kinetic_519, 00 Fc=4 - 1_X	211202_kinetic_519, 00 Fc=4 - 1_Y	211202_kinetic_519, 00 Fc=4 - 2_X	211202_kinetic_519, 00 Fc=4 - 2_Y	211202_kinetic_519, 00 Fc=4 - 3_X	211202_kinetic_519, 00 Fc=4 - 3_Y	211202_kinetic_519, 00 Fc=4 - 4_X	211202_kinetic_519, 00 Fc=4 - 4_Y	211202_kinetic_519, 00 Fc=4 - 5_X	211202_kinetic_519, 00 Fc=4 - 5_Y	211202_kinetic_519, 00 Fc=4 - 6_X	211202_kinetic_519, 00 Fc=4 - 6_Y
65.7	-2592.14	65.7	-2462.74	65.7	-2250.35	65.7	-1837.16	65.7	-1080.68	65.7	437.523	65.8	-2334.41	65.8	-2219.55	65.8	-2039.24	65.8	-1639.05	65.8	-889.172	65.8	386.598
66.7	-2599.82	66.7	-2470.18	66.7	-2256	66.7	-1848.54	66.7	-1105.31	66.7	439.098	66.8	-2374.29	66.8	-2254.89	66.8	-2064.32	66.8	-1689.46	66.8	-1008.23	66.8	400.063
67.7	-2602.38	67.7	-2473.4	67.7	-2258.4	67.7	-1851.61	67.7	-1109.83	67.7	439.895	67.8	-2379.17	67.8	-2260.36	67.8	-2069.06	67.8	-1697.37	67.8	-1022.2	67.8	403.68
68.7	-2603.24	68.7	-2474.86	68.7	-2259.52	68.7	-1852.88	68.7	-1111.39	68.7	440.035	68.8	-2379.56	68.8	-2262.71	68.8	-2071.28	68.8	-1700	68.8	-1024.59	68.8	405.84
69.7	-2604.2	69.7	-2474.89	69.7	-2259.53	69.7	-1852.31	69.7	-1110.86	69.7	441.121	69.8	-2378.25	69.8	-2261.59	69.8	-2071.38	69.8	-1699.05	69.8	-1025.42	69.8	410.266
70.7	-2604.31	70.7	-2475.28	70.7	-2259.88	70.7	-1852.2	70.7	-1110.4	70.7	442.539	70.8	-2376.17	70.8	-2260.77	70.8	-2071.38	70.8	-1698.93	70.8	-1024.42	70.8	411.773
71.7	-2604.43	71.7	-2475.41	71.7	-2259.53	71.7	-1851.98	71.7	-1110.14	71.7	442.828	71.8	-2374.49	71.8	-2259.7	71.8	-2070.96	71.8	-1698.5	71.8	-1024.35	71.8	411.672
72.7	-2604.54	72.7	-2475.09	72.7	-2259.33	72.7	-1851.83	72.7	-1109.99	72.7	443.859	72.8	-2371.87	72.8	-2259.46	72.8	-2071.2	72.8	-1698.16	72.8	-1023.68	72.8	412.52
73.7	-2604.56	73.7	-2475.79	73.7	-2259.04	73.7	-1851.54	73.7	-1109.54	73.7	444.254	73.8	-2370.22	73.8	-2259.06	73.8	-2071.09	73.8	-1697.43	73.8	-1022.99	73.8	415.133
74.7	-2604.61	74.7	-2475.47	74.7	-2259.21	74.7	-1851.26	74.7	-1109.81	74.7	444.625	74.8	-2367.22	74.8	-2257.74	74.8	-2069.73	74.8	-1696.71	74.8	-1022.31	74.8	416.805
75.7	-2604.04	75.7	-2475.41	75.7	-2258.22	75.7	-1851.53	75.7	-1107.99	75.7	445.52	75.8	-2366.22	75.8	-2257.01	75.8	-2069.77	75.8	-1696.89	75.8	-1022.19	75.8	416.488
76.7	-2604.61	76.7	-2475.23	76.7	-2259.3	76.7	-1851.15	76.7	-1108.82	76.7	446.176	76.8	-2364.34	76.8	-2256.5	76.8	-2069.36	76.8	-1696.06	76.8	-1021.64	76.8	416.559
77.7	-2603.77	77.7	-2474.88	77.7	-2258.47	77.7	-1850.97	77.7	-1108.43	77.7	446.02	77.8	-2362.69	77.8	-2255.34	77.8	-2068.77	77.8	-1695.21	77.8	-1020.27	77.8	416.625
78.7	-2603.97	78.7	-2474.43	78.7	-2258.27	78.7	-1851.16	78.7	-1107.54	78.7	445.73	78.8	-2361.07	78.8	-2255.05	78.8	-2068.86	78.8	-1694.79	78.8	-1020.23	78.8	416.824
