X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
6.2763592E1	1.3862815E2	6.2953592E1	7.5546356E1	6.2303592E1	3.7259347E1	6.2802611E1	2.1003109E1	6.2653592E1	9.1855257E0	6.2783592E1	7.2197449E0
6.3763592E1	1.3948387E2	6.3953592E1	7.6538170E1	6.3303592E1	3.7150544E1	6.3802611E1	2.0113345E1	6.3653592E1	9.2975973E0	6.3783592E1	7.6194916E0
6.4763592E1	1.4014432E2	6.4953592E1	7.5667567E1	6.4303592E1	3.6707898E1	6.4802611E1	2.0593950E1	6.4653592E1	9.6790179E0	6.4783592E1	7.7353472E0
6.5763592E1	1.4179826E2	6.5953592E1	7.5874194E1	6.5303592E1	3.6066633E1	6.5802611E1	2.1988965E1	6.5653592E1	1.0087544E1	6.5783592E1	6.2404332E0
6.6763592E1	1.4439834E2	6.6953592E1	7.6145362E1	6.6303592E1	3.7009030E1	6.6802611E1	2.2796512E1	6.6653592E1	1.0133060E1	6.6783592E1	6.4222201E0
6.7763592E1	1.4634470E2	6.7953592E1	7.6228843E1	6.7303592E1	3.6472646E1	6.7802611E1	2.2849582E1	6.7653592E1	8.8444372E0	6.7783592E1	8.0179006E0
6.8763592E1	1.4651226E2	6.8953592E1	7.4862376E1	6.8303592E1	3.6251477E1	6.8802611E1	2.3194092E1	6.8653592E1	8.9797131E0	6.8783592E1	7.5677999E0
6.9763592E1	1.4788189E2	6.9953592E1	7.5917957E1	6.9303592E1	3.4958908E1	6.9802611E1	2.3185436E1	6.9653592E1	9.7112965E0	6.9783592E1	7.7677215E0
7.0763592E1	1.5031402E2	7.0953592E1	7.9119808E1	7.0303592E1	3.5362337E1	7.0802611E1	2.2673694E1	7.0653592E1	9.1276082E0	7.0783592E1	7.9041577E0
7.1763592E1	1.5143939E2	7.1953592E1	8.0382936E1	7.1303592E1	3.6644428E1	7.1802611E1	2.2358940E1	7.1653592E1	7.6674169E0	7.1783592E1	7.7293611E0
7.2763592E1	1.5106618E2	7.2953592E1	8.0946785E1	7.2303592E1	3.7290175E1	7.2802611E1	2.3134507E1	7.2653592E1	7.1796288E0	7.2783592E1	7.9295528E0
7.3763592E1	1.5018588E2	7.3953592E1	8.0717273E1	7.3303592E1	3.7803234E1	7.3802611E1	2.4076388E1	7.3653592E1	7.2134332E0	7.3783592E1	8.1631516E0
7.4763592E1	1.5030268E2	7.4953592E1	8.0698811E1	7.4303592E1	3.6984113E1	7.4802611E1	2.4002979E1	7.4653592E1	7.7167203E0	7.4783592E1	8.0853712E0
7.5763592E1	1.5156857E2	7.5953592E1	8.1929374E1	7.5303592E1	3.7877764E1	7.5802611E1	2.3725777E1	7.5653592E1	8.6740761E0	7.5783592E1	6.3813611E0
7.6763592E1	1.5009278E2	7.6953592E1	8.3176807E1	7.6303592E1	3.8895449E1	7.6802611E1	2.3718906E1	7.6653592E1	1.1048114E1	7.6783592E1	5.2754118E0
7.7763592E1	1.4960385E2	7.7953592E1	8.3259501E1	7.7303592E1	3.9640910E1	7.7802611E1	2.3763268E1	7.7653592E1	1.0510292E1	7.7783592E1	2.7566326E0
7.8763592E1	1.4944949E2	7.8953592E1	8.3098185E1	7.8303592E1	4.1334398E1	7.8802611E1	2.3515810E1	7.8653592E1	1.0556838E1	7.8783592E1	5.2786530E0
7.9763592E1	1.4905826E2	7.9953592E1	8.2909673E1	7.9303592E1	4.1680256E1	7.9802611E1	2.3599592E1	7.9653592E1	1.0840284E1	7.9783592E1	6.7926085E0
