Seconds	Ch1	Ch2
6615	599.140000	527.170000
6615	599.170000	527.200000
6615	599.340000	527.180000
6615	599.130000	527.200000
6615	599.350000	527.360000
6615	599.140000	527.210000
6615	599.040000	527.310000
6616	599.130000	527.060000
6616	599.050000	527.040000
6616	599.240000	527.070000
6616	599.170000	527.160000
6616	599.160000	527.120000
6616	599.150000	527.070000
6616	599.040000	527.250000
6616	599.060000	527.160000
6616	599.170000	527.140000
6616	599.190000	527.150000
6616	599.150000	527.180000
6616	599.140000	527.100000
6617	599.080000	527.140000
6617	599.100000	527.150000
6617	599.160000	527.110000
6617	598.920000	527.130000
6617	599.230000	527.070000
6617	599.190000	527.130000
6617	599.010000	527.040000
6617	599.090000	527.260000
6617	599.190000	527.140000
6617	599.180000	527.170000
6617	599.160000	527.340000
6617	599.170000	527.030000
6618	599.100000	527.190000
6618	599.070000	527.310000
6618	599.240000	527.240000
6618	599.100000	527.220000
6618	599.050000	527.210000
6618	599.120000	527.130000
6618	599.200000	527.180000
6618	599.100000	527.020000
6618	599.070000	527.190000
6618	599.120000	527.100000
6618	599.040000	527.160000
6618	599.180000	527.160000
6618	599.100000	527.070000
6619	599.290000	527.220000
6619	599.150000	527.120000
6619	599.220000	527.220000
6619	599.110000	527.300000
6619	599.130000	527.220000
6619	599.300000	527.270000
6619	599.200000	527.190000
6619	599.190000	527.140000
6619	599.080000	527.150000
6619	599.020000	527.150000
6619	599.000000	527.230000
6619	599.090000	527.110000
6620	599.090000	527.120000
6620	599.030000	527.040000
6620	599.160000	527.170000
6620	599.130000	527.200000
6620	599.160000	527.170000
6620	599.250000	527.100000
6620	599.200000	527.220000
6620	599.180000	527.210000
6620	599.140000	527.190000
6620	599.000000	527.210000
6620	599.160000	527.150000
6620	599.060000	527.220000
6620	599.120000	527.110000
6621	599.100000	527.220000
6621	599.100000	527.130000
6621	599.030000	527.120000
6621	599.210000	527.020000
6621	599.140000	527.210000
6621	599.260000	527.140000
6621	599.150000	527.240000
6621	599.140000	527.190000
6621	599.060000	527.260000
6621	599.130000	527.220000
6621	599.120000	527.170000
6621	599.160000	527.250000
6621	599.140000	527.170000
6622	599.100000	527.230000
6622	599.360000	527.190000
6622	599.180000	527.220000
6622	599.170000	527.150000
6622	599.060000	527.070000
6622	599.100000	527.210000
6622	599.090000	527.310000
6622	599.170000	527.050000
6622	599.130000	527.050000
6622	599.060000	527.070000
6622	599.070000	527.160000
6622	599.140000	527.130000
6622	599.160000	527.150000
6623	599.110000	527.140000
6623	599.230000	527.190000
6623	599.030000	527.300000
6623	599.130000	527.310000
6623	599.060000	527.320000
6623	599.150000	527.260000
6623	599.220000	527.180000
6623	599.000000	527.220000
6623	599.060000	527.200000
6623	599.010000	527.240000
6623	599.030000	527.180000
6623	599.010000	527.100000
6624	599.130000	527.170000
6624	599.140000	527.200000
6624	599.170000	527.150000
6624	599.140000	527.190000
6624	599.180000	527.160000
6624	599.010000	527.200000
6624	599.120000	527.190000
6624	599.110000	527.150000
6624	599.180000	527.250000
6624	599.210000	527.140000
6624	599.270000	527.190000
6624	599.180000	527.070000
6624	599.000000	527.150000
6625	599.200000	527.120000
6625	599.130000	527.010000
6625	599.340000	527.070000
6625	599.150000	527.110000
6625	599.180000	527.260000
6625	599.060000	527.180000
6625	599.100000	527.140000
6625	599.220000	527.190000
6625	599.170000	527.160000
6625	599.160000	527.180000
6625	599.070000	527.110000
6625	599.160000	527.260000
6626	599.000000	527.150000
6626	599.130000	527.170000
6626	599.140000	527.100000
6626	599.140000	527.210000
6626	599.300000	527.090000
6626	599.220000	527.150000
6626	599.230000	527.200000
6626	599.180000	527.160000
6626	599.110000	527.220000
6626	599.160000	527.290000
6626	599.320000	527.150000
6626	599.160000	527.260000
6627	599.040000	527.260000
6627	599.110000	527.270000
6627	599.260000	527.080000
6627	599.200000	527.020000
6627	599.150000	527.130000
6627	599.020000	527.170000
6627	599.120000	527.130000
6627	599.100000	527.240000
6627	599.110000	527.250000
6627	599.100000	527.190000
6627	599.200000	527.220000
6627	599.040000	527.140000
6628	599.230000	527.310000
6628	599.250000	527.160000
6628	599.280000	527.090000
6628	599.180000	527.240000
6628	599.010000	527.270000
6628	599.150000	527.170000
6628	599.130000	527.190000
6628	599.190000	527.180000
6628	599.140000	527.040000
6628	599.190000	527.070000
6628	599.090000	527.130000
6628	599.240000	527.160000
6628	598.990000	527.150000
6629	599.250000	527.120000
6629	599.280000	527.230000
6629	599.040000	527.110000
6629	599.120000	527.280000
6629	599.210000	527.170000
6629	599.080000	527.250000
6629	599.060000	527.210000
6629	599.110000	527.320000
6629	599.120000	527.190000
