fittedT	fittedR
292	31.6797464062561
293	31.6788367768735
294	31.6779271733591
295	31.6770175957127
296	31.6761080448918
297	31.6751985201132
298	31.6742890213767
299	31.6733795486823
300	31.6724701020302
301	31.6715606814202
302	31.6706512868524
303	31.6697419183268
304	31.6688325758434
305	31.6679232594022
306	31.6670139693085
307	31.6661047053125
308	31.6651954674142
309	31.6642862556136
310	31.6633770699107
311	31.6624679103056
312	31.6615587767981
313	31.6606496693883
314	31.6597405880763
315	31.6588315328619
316	31.6579225037452
317	31.6570135007262
318	31.656104523805
319	31.6551955729814
320	31.6542866482555
321	31.6533777496273
322	31.6524688770968
323	31.6515600306641
324	31.650651210329
325	31.6497424160916
326	31.6488336479519
327	31.6479249059099
328	31.6470161899657
329	31.6461075001191
330	31.6451988363702
331	31.644290198719
332	31.6433815871656
333	31.6424730017098
334	31.6415644423517
335	31.6406559090913
336	31.6397474019287
337	31.6388389208637
338	31.6379304658098
339	31.637022036786
340	31.6361136338472
341	31.6352052569936
342	31.6342969062252
343	31.6333885815419
344	31.6324802829438
345	31.6315720104308
346	31.630663764003
347	31.6297555436604
348	31.6288473494029
349	31.6279391812305
350	31.6270310391433
351	31.6261229231413
352	31.6252148332244
353	31.6243067693926
354	31.6233987316461
355	31.6224907199846
356	31.6215827344084
357	31.6206747749172
358	31.6197668415113
359	31.6188589341905
360	31.6179510529179
361	31.617043197573
362	31.616135368297
363	31.6152275650898
364	31.6143197879514
365	31.6134120368818
366	31.612504311881
367	31.6115966129491
368	31.6106889400859
369	31.6097812932916
370	31.6088736725662
371	31.6079660779095
372	31.6070585093217
373	31.6061509668026
374	31.6052434503524
375	31.6043359599711
376	31.6034284956585
377	31.6025210574148
378	31.6016136452399
379	31.6007062591338
380	31.5997988990965
381	31.598891565128
382	31.5979842572284
383	31.5970769752402
384	31.5961697192661
385	31.5952624893439
386	31.5943552854735
387	31.593448107655
388	31.5925409558884
389	31.5916338301736
390	31.5907267305107
391	31.5898196568996
392	31.5889126093404
393	31.588005587833
394	31.5870985923775
395	31.5861916229739
396	31.5852846796221
397	31.5843777623221
398	31.583470871074
399	31.5825640058778
400	31.5816571667334
401	31.5807503536409
402	31.5798435666002
403	31.5789368056114
404	31.5780300706745
405	31.5771233617419
406	31.5762166787788
407	31.5753100218511
408	31.5744033909581
409	31.5734967860991
410	31.5725902072735
411	31.5716836544805
